reference,T5_predict
"Florida 12-year-old is facing seven felony charges for allegedly bringing a package of THC-laced gummy candies to school and sharing them with his classmates during a morning gym class at Mulberry Middle School in Polk County, ABC reports. Several students became ill with symptoms that included stomach pain, nausea, and dizziness after eating the Green Hornet brand gummies. Of the two boys and four girls who ate the pot candies, five were taken to the hospital and one was picked up by their parents, the Ledger reports, adding that the boy who brought the gummies to school did not consume them. The kids are reportedly recovering. Edible marijuana products are not currently legal in Florida, which has a medical marijuana program but not a recreational one. “I warned us that all of this was coming,” Sheriff Grady Judd, called by the Ledger a “staunch” opponent of medical marijuana, said. (In Washington, some old pot convictions were tossed.)","a 12-year-old student brought a pack of green Hornet gummies to school . the pack contained 100 mg of THC, and all 100 mg were consumed by at least six (but possibly more) children . NEWLINE_CHAR NEWLINE_CHAR MULBERRY — Polk County Public Schools sent the following message to parents ."
"rrie Underwood looked out from a Louisville stage Saturday night and saw a young audience member holding a sign: ""Carrie be my first kiss."" So the country star called Chase, 12, up on stage and offered to make his dream come true—as long as he didn't mind that her husband would be watching, the Oklahoman reports. ""OK, how are we going to do this?"" Underwood asked. The bold tween's reply: ""Lip to lip."" That's exactly what Underwood did, and later tweeted: ""Thanks, Chase, for the kiss and thanks Louisville for rocking so hard tonight! We had fun! #liptolip""","Carrie Underwood Carrie Underwood Carrie Underwood Underwood underwood. underwood underwood. underwood: “Thanks, Chase, for the kiss and thanks Louisville for rocking so hard tonight! We had fun! #liptolip” NEWLINE_CHAR NEWLINE_CHAR Underwood’s “Blown Away Tour” will include home state shows on Oct. 25 at Chesapeake Energy Arena in Oklahoma City and Nov. 21 at the BOK Center in Tul"
"ris Christie has just about had it with that pesky Oracle of Omaha and all his talk about millionaires paying more taxes. The New Jersey governor cut off Piers Morgan's Warren Buffett question at the pass in an interview last night on CNN, telling him, ""He should just write a check and shut up. Really, and just contribute. The fact of the matter is that I'm tired of hearing about it. If he wants to give the government more money, he's got the ability to write a check—go ahead and write it."" As Morgan protested that he hadn't heard the question, Christie said, ""I know the question. Do you really think Warren Buffett needs as much attention from the government as the most vulnerable?"" Christie relented a bit, notes Politico, saying that ""during difficult economic times you're most concerned about the people who have the potential to suffer the most,"" but that ""I'm not going to get into this class warfare business where certain people are more important than others.""","Buffett Buffett Buffett, Buffett Buffett Buffett Buffett putting it. Buffett, Christie said. “I know the question,” Christie said, interrupting Morgan. “I’m tired of talking about Warren Buffett,” Christie said. NEWLINE_CHAR NEWLINE_CHAR Buffett, Romney more. the most vulnerable ... the government,,, rate ,,, and and @"
"parently there is at least one celebrity who doesn't take nude pictures: Taylor Swift. Her social media accounts were hacked yesterday by the Lizard Squad, a group that's claimed responsibility for a number of other recent cyberattacks. The group threatened to release nude photos of Swift, but she was having none of the nonsense, Us reports: ""any hackers saying they have 'nudes'? Psssh you'd love that wouldn't you! Have fun photoshopping cause you got NOTHING,"" she tweeted, along with a play off her latest hit: ""Cause the hackers gonna hack, hack, hack, hack, hack..."" On Tumblr, she assured fans, ""My Twitter got hacked but don’t worry, Twitter is deleting the hacker tweets and locking my account until they can figure out how this happened and get me new passwords."" She later continued making it difficult for you to hate her by responding, to a fan who had requested that someone tell her to get off Tumblr and do her homework, ""Get off Tumblr and do your homework, Destiny."" (Swift recently revealed her bellybutton for the first time.)","NEWLINE_CHAR NEWLINE_CHAR NEWLINE_CHAR PHOTOS: Taylor Swift's belly button has been shrouded in mystery . NEWLINE_CHAR NEWLINE_CHAR PHOTOS: Taylor Swift's celebrity fans are hacked . the hacker accounts were hijacked on Tuesday, Jan. 27, by so-called elite hackers ."
"ott Weiland's death could end up just as fraught as his life. The late Stone Temple Pilots frontman's ex-wife, Mary Forsberg, has filed court documents in an attempt to be named executor of Weiland's will, People reports. Forsberg is the mother of Weiland's two kids, but Weiland had been married to his third wife, Jamie Wachtel, since 2013 at the time of his death. Forsberg says Weiland himself named her executor, and she filed a signed copy of his 2007 will as proof, TMZ reports. But, as the gossip site notes, their marriage was falling apart right around that time, and Weiland was ""in the throes of addiction."" Wachtel could contest the filing. Weiland's estate is reportedly worth around $2 million, and there's also a trust with undisclosed assets that the singer created while he was alive. A hearing will be held on Feb. 5. (Click for Forsberg's wrenching essay on Weiland's death.)",",,,,, and asthma, were ""significant conditions"", and his history of cardiovascular disease, asthma, and multi-substance dependence . docs say Scott had about $2 million in assets as part of his estate . Ex-Wife Wants to Call the Shots NEWLINE_CHAR NEWLINE_CHAR Mary Forsberg filed docs in L.A."
"ter six months in the hospital being treated for brain cancer, 4-year-old Jillian Massey was sent home for the holidays. But she didn't forget the friends she'd made at Children's Hospital of Philadelphia, and wanted to give 50 holiday presents to the children still there, the AP reports. Instead, more than 3,000 will be given out after Jillian's story, and the Amazon wish list she created, went viral. Many people donated gifts, and Jillian and her family will deliver them to the hospital Monday.","NEWLINE_CHAR NEWLINE_CHAR Jillian Massey was diagnosed with brain cancer in April . when she was sent home, she decided to give something back to her friends . NEWLINE_CHAR NEWLINE_CHAR Jillian was sent home for the holidays . her wish for 50 presents has ballooned to over 3,000 for patients at children's hospital of Philadelphia ."
"e wait for the next season of Game of Thrones just got a bit longer because, as io9 reports, winter isn't coming. At least not yet. New seasons of Game of Thrones typically debut in April, but weather in the European locations where the show films could push that back, the Verge reports. “We’re starting a bit later because at the end of this season ‘winter is here’—and that means that sunny weather doesn’t really serve our purposes any more,"" Thrones creators Dan Weiss and David Benioff say on the UFC Unfiltered podcast. ""So we kind of pushed everything down the line so we could get some grim, gray weather even in the sunnier places that we shoot.” And who knows, if the real-life winter holds off long enough George RR Martin might even have time to finish the next book.",::29:09 - What did the guys learn from talking with Miesha?31:01 - What did the guys learn from talking with Miesha?31:27 - What did the guys learn from talking with Miesha?41:22 - What did the guys learn from talking with Miesha?41:22 - What did the guys learn from talking with Miesha?41:22 - What did the guys learn from talking with Miesha?41:22 - What did
"ogle has already enmeshed itself in your email, your mapping needs, your book collection … why not your wedding as well? The search giant announced Google for Weddings yesterday on its official blog. Wedding planners, watch out: The site will allow users to do everything from organizing guests lists and schedules to creating a wedding website to making save-the-date cards. (The templates were actually designed with the help of ""renowned"" wedding planner Michelle Rago.) Mashable notes this isn’t the first time Google has created such a personal venture: In 2008, it launched Google Health, which let users monitor their health information online. But that hit a controversial snag when Google teamed up with CVS to provide patients with access to their prescription history via Google Health, causing some to wonder if Google had too much access to sensitive information. (Click for more in the modern world of weddings.)",NEWLINE_CHAR NEWLINE_CHAR Google has rolled out a wedding-specific site . NEWLINE_CHAR NEWLINE_CHAR Google teamed up with wedding planner Michelle Rago . The site is the latest attempt by Google to insinuate itself into consumers' lifestyles .
"e New York Times editorial board thinks President Obama has the US blundering into a new war with the expanded airstrikes in Syria. Before the US gets any deeper into the operation, the president should open this up for a full debate in Congress, says the editorial. It's also ""puzzling"" that in preparing the nation on Sept. 10 for these airstrikes, Obama said nothing about the Khorasan group that is suddenly Public Enemy No. 1. ""There isn’t a full picture—because Mr. Obama has not provided one—of how this bombing campaign will degrade the extremist groups without unleashing unforeseen consequences in a violent and volatile region,"" says the editorial. ""In the absence of public understanding or discussion and a coherent plan, the strikes in Syria were a bad decision."" Agree: The airstrikes are a ""major reversal"" for a president who opposed intervention in Syria for so long, writes the Los Angeles Times in an editorial. Can we trust that he won't reverse himself on ground troops, too? Yes, ISIS and the Khorasan group pose threats to US interests, ""but is the threat serious enough to justify an ever-escalating role for the US military in Syria and Iraq?"" asks the editorial. ""Does the US have a clear strategy and achievable aims? The case has yet to be made."" Disagree: The Wall Street Journal editorial board not only applauds the airstrikes but thinks US ground troops should be ready to move quickly. If the mission is to succeed, and it must, they'll be needed to direct airstrikes as militants hide in populated areas. ""No US President should ever start a war he doesn't intend to win, and wars rarely go as smoothly as advertised in advance,"" concludes the editorial. ""Now that he has attacked ISIS, Mr. Obama must show that America is the strong horse.""",a reversal for Obama. NEWLINE_CHAR NEWLINE_CHAR . NEWLINE_CHAR NEWLINE_CHAR The airstrikes mark a major reversal for Obama . he says the threat posed by Islamic State justifies a rethinking of Obama's aversion to intervention in Syria . he says the airstrikes in the country are a welcome offensive that takes the war to the terrorists who beheaded two Americans .
"mie Lee Curtis eulogized her father Tony at his funeral last year—but just five months before his death, Curtis had disinherited Jamie Lee and his other four children. Inside Edition has a copy of the will, which lists his children by name … then says, “I acknowledge the existence of my children … and have intentionally and with full knowledge chosen not to provide for them.” Curtis left the entire estate to his widow Jill—his fifth wife and not the mother of any of his children, the Telegraph notes. One of Curtis’ daughters contested the will, but was denied by the court.","Curtis, who died from cardiac arrest last year, was eulogized by his actress daughter Jamie Lee at his funeral . NEWLINE_CHAR NEWLINE_CHAR NEWLINE_CHAR INSIDE EDITION has obtained the will . his fifth wife, Jill, says: ""I acknowledge the existence of my children...and have intentionally and with full knowledge chosen not to provide for them"""
"st because Arturo Carvajal is a doctor, that doesn't mean he knows how to eat an artichoke—and he's suing a Miami restaurant for not instructing him on the proper method. Carvajal ordered the grilled artichoke (a vegetable he had ""never seen nor heard of previously,"" according to court filings) and proceeded to eat the entire thing, rather than scraping just the meat off of the leaves. He later found himself experiencing abdominal pain, and doctors found artichoke leaves lodged in his bowel. He filed a suit seeking unspecified damages last month, the Miami New Times reports. In it, he complains that the server failed ""to explain the proper method of consuming an artichoke."" His lawyer explains that Carvajal thought ""it was like a food he might have eaten in his native Cuba, where you eat everything on the plate."" The restaurant's lawyer begs to differ: ""What's next?"" he asks Business Insurance. ""Are we going to have to post warnings on our menu they shouldn't eat the bones in our barbecue ribs?"" Click here for more wacky lawsuits.","a grilled-artichoke special, which was not on the menu . NEWLINE_CHAR NEWLINE_CHAR The outside leaf is tough, brittle, and nearly dagger-sharp . a doctor with a family practice in Hollywood says he was mystified by the vegetable ."
"e mysteries of Old Faithful may soon be solved, thanks, in part, to something that looks like a giant hula hoop. American and Danish scientists have this week begun an aerial survey of Yellowstone that actually looks well into the earth, ""visualizing"" the geology and water as much as 1,500 feet below the surface, says Carol Finn. She's waited a decade to explore what she calls ""a last frontier ... in Yellowstone,"" and the intention is to better map the flow of water that's feeding Old Faithful and rare but sometimes violent hydrothermal explosions. Over a four-week period, a helicopter will fly above, armed with electromagnetic technology that looks like a giant hula hoop. The AP explains it in layman's terms: ""The device acts like an X-ray to determine where and how hot water flows beneath the surface."" Scientists will use the data to determine whether solid earth, ""rotten"" sulfuric rock, or water lurks below, which could assist in identifying unstable areas, per Wyoming Public Media. But a press release frames the main quest like so: We know that the water that explodes from Yellowstone's geysers ""originates as old precipitation, snow and rain that percolates down into the crust, is heated, and ultimately returns to the surface."" We know that it can take as long as thousands of years for that process to run its course. What scientists are hoping to determine are the routes these waters take. ""Does it travel down and back up? Does it travel laterally?"" asks Finn. Right now, ""nobody knows."" (Archaeologists made a surprise find underneath a Mayan temple.)","NEWLINE_CHAR NEWLINE_CHAR The study is a collaboration between the U.S.G.S., Yellowstone National Park, the University of Wyoming and the University of Wyoming . the researchers will fly a helicopter carrying electromagnetic technology that resembles a giant hula hoop . the device acts like an X-ray to determine where and how hot water flows beneath the surface ."
"arlie Sheen's HIV diagnosis was joked about in an email exposed, but never publicized, during last year's Sony hack, the Washington Post reports. The email from a Sony exec was joking about the fact that Sheen wasn't showing up to work on Anger Management, his FX series. ""I think I will win the 90/10 bet on the over under on this … it's hard to to be a drug addict and be HIV positive and do 40 eps a year,"" the email reads. It's always been available on the Wikileaks Sony hack page, but hadn't been released to the larger public until now. The email was referring to a deal that stated if 10 episodes performed well, FX would order 90 more; the series, which premiered in June 2012 and ended in December 2014, was supposed to film 100 episodes in two years, enough to send it into syndication—and it did end up filming exactly that many. As the Post notes, the email illustrates the fact that some in the industry were very much aware of Sheen's diagnosis before he revealed it publicly. Deadline notes that Sheen is currently looking to do another TV series.","he was diagnosed with HIV-positive during the run of his previous sitcom, Anger Management . NEWLINE_CHAR NEWLINE_CHAR During the Today interview, sheen indicated that he has major projects in the hopper . he said he has several features, and was confident that his HIV-positive status will not impact his career ."
"man suspected of killing a Texas state trooper during a traffic stop was taken into custody more than 100 miles away, authorities said Thursday night. The Harris County Sheriff's Office announced on Twitter that the suspect was apprehended in neighboring Waller County. The Texas Department of Public Safety and other law enforcement agencies identified the suspect as Dabrett Black, 32, of Lindale, Texas, the AP reports. DPS said the trooper was shot and killed before 4pm Thursday during a traffic stop on Interstate 45 near Fairfield, about 90 miles south of Dallas. The trooper, who has not been publicly identified, was shot with a rifle and died at the scene, the agency said. The suspect then fled. Hours after the shooting, the Waller County Sheriff's Office said the suspect's vehicle was spotted in Hempstead. The sheriff's office said shots were fired but didn't indicate who opened fire. The suspect was apprehended a short time later. Several Texas officials reacted to the trooper's death. In a tweet, Sen. Ted Cruz offered ""prayers for the family and loved ones"" of the trooper. Gov. Greg Abbott called the trooper's killing a ""heinous crime."" ""Sad on Thanksgiving to lose one of our state troopers in the line of duty,"" he tweeted. ""Prayers for his family. Swift justice for his killer.""","NEWLINE_CHAR NEWLINE_CHAR The trooper was shot and killed before 4 p.m. Thursday . the trooper was shot with a rifle and died at the scene, the agency said . the suspect fled the scene, authorities said . NEWLINE_CHAR NEWLINE_CHAR The trooper has not been identified ."
"e ""person of interest"" detained earlier today in Los Angeles' string of arsons has been arrested, reports the Los Angeles Times. ""I feel very good that we've got the right guy,"" says LA Police Chief Charlie Beck. He ""had the right stuff in his van, and we are very confident we found our man.'' Indeed, there have been no new fires since the suspect was detained. Police say that the suspect is a German who was embroiled in a fight with federal immigration authorities. Meanwhile, sources tell the Times that they spotted the suspect in the back of a police cruiser, and a number of them flipped him the bird—a gesture he returned with an eerie smile. ""It was creepy,"" says a music producer who witnessed the exchange. Click for more on the case.",NEWLINE_CHAR NEWLINE_CHAR NEWLINE_CHAR MAP: Arson fires NEWLINE_CHAR NEWLINE_CHAR MAP . police say the suspect is from Germany . the suspect is believed to have been in dispute with federal immigration officials .
"g news for fans of sugary breakfast cereals and social-media-driven brand promotions: Lucky Charms is giving people the chance to win ""the unicorn of the cereal world,"" a box of Marshmallow Only Lucky Charms, People reports. According to General Mills, the contest is in response to the constant requests the company gets for an all-marshmallow box of the cereal. Also, Biz Markie is involved for some reason. To win one of only 10 boxes being made available, post a selfie of yourself holding an imaginary box of Lucky Charms to Facebook, Twitter, or Instagram and tag it #Lucky10Sweepstakes by Sunday. Or, you know, just buy one of these.",NEWLINE_CHAR NEWLINE_CHAR NEWLINE_CHAR The brand is releasing limited-edition marshmallow-only boxes . NEWLINE_CHAR NEWLINE_CHAR The brand is releasing limited-edition marshmallow-only boxes . the sweepstakes ends October 18 .
